Zona;Contrato;Orden;Usuario;Estado;Ejecucion;mes;ano;Codigo;Anomalia;NUnidad;Unidad;NCausa;Causa;UGenera;Descripcion;Motivo;Cuadrilla;kWhRec;Factor
SU;DIC 230.2023;30499249;1124097;Rechazada;2023-12-27 10:39:59-05;12;2023;N/A;medidor no conforme;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;CMORALES;Anomalia verificada con acta digital;No Procede Pare;ZTY1394;0;
CE;ING 568.2023;30499314;151820;Pendiente;2023-12-29 16:48:30-05;12;2023;N/A;medidor no conforme;0;FACTURACION;0;CAUSA NO DETERMINADA;OBANDA;Posible anomalia;Disponible;ZTY1596;;
NO;UNI 210.2023;30499450;1224114;Rechazada;2023-12-29 13:25:48-05;12;2023;N/A;medidor no conforme;0;FACTURACION;0;CAUSA NO DETERMINADA;JFMARTINEZ;Anomalia verificada con acta digital;No Procede Pare;ZTY1371;0;
SU;PRI 232.2023;30499481;404312;Pendiente;2023-12-27 10:58:51-05;12;2023;N/A;medidor no conforme;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;MARIMEJIACH;Posible anomalia;Disponible;ZTY1416;;
NO;R Y 211.2023;30502932;8541797;Aprobada;2023-12-28 17:03:15-05;12;2023;30001 / 30001;OTRAS ANOMAL�AS QUE PUEDEN DETECTARSE Y COMPROBARSE / OTRAS ANOMAL�AS QUE PUEDEN DETECTARSE Y COMPROBARSE;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;HCORDOBA;Anomalia verificada y aprobada;Luminaria Encendida;ZTY1351;1407;
NO;R Y 211.2023;30503119;600986;Aprobada;2023-12-27 08:42:32-05;12;2023;30004 / 30004;OTRAS ANOMAL�AS REINCIDENTE PARE / OTRAS ANOMAL�AS REINCIDENTE PARE;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;HCORDOBA;Anomalia verificada y aprobada;Otras Anomalias;ZTY1353;1651;
CE;ING 568.2023;30503329;168272;Pendiente;2023-12-29 16:05:07-05;12;2023;N/A;medidor no conforme;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;MHOYOSM123;Posible anomalia;Disponible;ZTY1598;0;
NO;R Y 211.2023;30503423;640243;Aprobada;2023-12-28 14:49:36-05;12;2023;30004;OTRAS ANOMAL�AS REINCIDENTE PARE;0;CONTROL PERDIDAS;0;CAUSA NO DETERMINADA;HCORDOBA;Anomalia verificada y aprobada;Otras Anomalias;ZTY1351;459;
NO;R Y 211.2023;30503447;1200793;Aprobada;2023-12-27 12:52:58-05;12;2023;30001;OTRAS ANOMAL�AS QUE PUEDEN DETECTARSE Y COMPROBARSE;0;CONTROL PERDIDAS;0;CAUSA NO DETERMINADA;HCORDOBA;Anomalia verificada y aprobada;Luminaria Encendida;ZTY1352;1034;
NO;MON 280.2023;30523088;407118;Aprobada;2023-12-27 14:18:45-05;12;2023;30004;OTRAS ANOMAL�AS REINCIDENTE PARE;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;HCORDOBA;Anomalia verificada y aprobada;Otras Anomalias;ZTY1423;;
NO;MON 280.2023;30523099;407110;Aprobada;2023-12-27 11:54:40-05;12;2023;30001;OTRAS ANOMAL�AS QUE PUEDEN DETECTARSE Y COMPROBARSE;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;HCORDOBA;Anomalia verificada y aprobada;Luminaria Encendida;ZTY1423;;
NO;MON 280.2023;30523213;1013287;Aprobada;2023-12-29 13:52:24-05;12;2023;5;RETIRO O DESCONEXI�N DEL MEDIDOR O COMPONENTES SIN AUTORIZAC;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;HCORDOBA;Anomalia verificada y aprobada;Legalizacion Orden De Retiro;ZTY1423;;
NO;MON 280.2023;30523224;1013281;Aprobada;2023-12-29 15:48:11-05;12;2023;30001;OTRAS ANOMAL�AS QUE PUEDEN DETECTARSE Y COMPROBARSE;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;HCORDOBA;Anomalia verificada y aprobada;Luminaria Encendida;ZTY1423;;
NO;MON 280.2023;30523256;1013220;Aprobada;2023-12-29 14:50:14-05;12;2023;30001;OTRAS ANOMAL�AS QUE PUEDEN DETECTARSE Y COMPROBARSE;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;HCORDOBA;Anomalia verificada y aprobada;Luminaria Encendida;ZTY1423;;
NO;MON 280.2023;30523270;1013283;Aprobada;2023-12-29 17:18:19-05;12;2023;30001;OTRAS ANOMAL�AS QUE PUEDEN DETECTARSE Y COMPROBARSE;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;HCORDOBA;Anomalia verificada y aprobada;Luminaria Encendida;ZTY1423;;
CE;ING 568.2023;30523666;347710;Pendiente;2023-12-27 14:37:56-05;12;2023;N/A;medidor no conforme;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;AGARZONY;Posible anomalia;Disponible;ZTY1599;0;
OC;R Y 229.2023;30524482;163808;Rechazada;2024-01-02 08:52:12-05;1;2024;N/A / BPQ;medidor no conforme / Bornera Perforada/Quemada;0;FACTURACION;0;CAUSA NO DETERMINADA;JDDELGADO;Anomalia verificada con acta digital;No Procede Pare;ZTY1385;0;
OC;R Y 229.2023;30544161;322378;Aprobada;2023-12-29 15:08:38-05;12;2023;1;ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA;0;CONTROL PERDIDAS;0;CAUSA NO DETERMINADA;JORTEGA;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1384;531;
PA;DIC 209.2023;30544225;378260;Pendiente;2024-01-04 09:23:24-05;1;2024;N/A;medidor no conforme;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;GSANDOVAL;Posible anomalia;Disponible;ZTY1404;1611;
PA;DIC 209.2023;30544225;378260;Pendiente;2024-01-04 09:23:24-05;1;2024;BPQ / 82 / 38 / 82 / 39;Bornera Perforada/Quemada  / Se Corrige Anomal�a / Inspecci�n T�cnica Conforme / Linea Directa / Medidor desconectado;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;GSANDOVAL;Posible anomalia;;ZTY1404;1611;
OC;R Y 229.2023;30547019;444026;Aprobada;2023-12-30 11:33:22-05;12;2023;30004;OTRAS ANOMAL�AS REINCIDENTE PARE;0;CONTROL PERDIDAS;0;CAUSA NO DETERMINADA;JORTEGA;Anomalia verificada y aprobada;Otras Anomalias;ZTY1382;404;
OC;R Y 229.2023;30547309;8559453;Aprobada;2023-12-30 13:02:09-05;12;2023;1;ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA;0;CONTROL PERDIDAS;0;CAUSA NO DETERMINADA;JORTEGA;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1381;278;
NO;MON 280.2023;30629691;581152;Rechazada;2024-01-02 09:43:46-05;1;2024;38;Inspecci�n T�cnica Conforme;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;HCORDOBA;Anomalia verificada con acta digital;No Existe Anomal�a En El Acta;ZTY1422;0;
NO;MON 280.2023;30629707;1043215;Aprobada;2024-01-03 13:30:19-05;1;2024;11 / MV;ALTERACI�N DE LA POSICI�N DEL MEDIDOR DE INDUCCI�N / Medidor Volteado;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;HCORDOBA;Anomalia verificada y aprobada;Factor;ZTY1422;113;
OC;R Y 229.2023;30629803;227808;Rechazada;2024-01-02 09:33:05-05;1;2024;38;Inspecci�n T�cnica Conforme;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;ERODRIGUEZM;Anomalia verificada con acta digital;No Existe Anomal�a En El Acta;ZTY1381;;
NO;MON 280.2023;30629861;8569183;Aprobada;2024-01-03 12:43:04-05;1;2024;1 / 82 / 82 / 38;ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / Se Corrige Anomal�a / Linea Directa / Inspecci�n T�cnica Conforme;0;CONTROL PERDIDAS;0;CAUSA NO DETERMINADA;HCORDOBA;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1422;731;
NO;R Y 211.2023;30629878;1053215;Aprobada;2024-01-02 11:20:18-05;1;2024;11 / MV;ALTERACI�N DE LA POSICI�N DEL MEDIDOR DE INDUCCI�N / Medidor Volteado;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;HCORDOBA;Anomalia verificada y aprobada;Factor;ZTY1354;650;
OC;R Y 229.2023;30629973;1037398;Rechazada;2024-01-02 16:32:13-05;1;2024;38;Inspecci�n T�cnica Conforme;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;ERODRIGUEZM;Anomalia verificada con acta digital;No Existe Anomal�a En El Acta;ZTY1381;;
OC;R Y 229.2023;30629996;436332;Rechazada;2024-01-02 10:22:11-05;1;2024;38;Inspecci�n T�cnica Conforme;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;ERODRIGUEZM;Anomalia verificada con acta digital;No Existe Anomal�a En El Acta;ZTY1381;;
OC;R Y 229.2023;30630456;227786;Rechazada;2024-01-02 11:19:38-05;1;2024;38;Inspecci�n T�cnica Conforme;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;ERODRIGUEZM;Anomalia verificada con acta digital;No Existe Anomal�a En El Acta;ZTY1381;;
NO;MON 280.2023;30630523;454506;Aprobada;2024-01-03 14:32:47-05;1;2024;1 / 82 / 82 / 38;ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / Se Corrige Anomal�a / Linea Directa / Inspecci�n T�cnica Conforme;0;CONTROL PERDIDAS;0;CAUSA NO DETERMINADA;HCORDOBA;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1422;890;
NO;MON 280.2023;30630541;1022059;Aprobada;2024-01-03 09:15:04-05;1;2024;MV / 11;Medidor Volteado / ALTERACI�N DE LA POSICI�N DEL MEDIDOR DE INDUCCI�N;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;HCORDOBA;Anomalia verificada y aprobada;Factor;ZTY1422;24;
OC;R Y 229.2023;30630637;1219694;Rechazada;2024-01-02 11:59:16-05;1;2024;38;Inspecci�n T�cnica Conforme;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;ERODRIGUEZM;Anomalia verificada con acta digital;No Existe Anomal�a En El Acta;ZTY1381;;
NO;MON 280.2023;30630868;637320;Aprobada;2024-01-04 07:37:13-05;1;2024;82 / 38 / 38 / 1;Se Corrige Anomal�a / Acometida Intervenid / Inspecci�n T�cnica Conforme / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA;0;CONTROL PERDIDAS;0;CAUSA NO DETERMINADA;HCORDOBA;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1422;1147;
NO;MON 280.2023;30630872;1068633;Aprobada;2024-01-04 08:39:10-05;1;2024;38 / 1 / 82 / 38;Inspecci�n T�cnica Conforme / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / Se Corrige Anomal�a / Acometida Intervenid;0;CONTROL PERDIDAS;0;CAUSA NO DETERMINADA;HCORDOBA;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1422;1136;
OC;R Y 229.2023;30630875;228270;Rechazada;2024-01-02 14:29:03-05;1;2024;38;Inspecci�n T�cnica Conforme;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;ERODRIGUEZM;Anomalia verificada con acta digital;No Existe Anomal�a En El Acta;ZTY1381;;
NO;MON 280.2023;30630879;637331;Aprobada;2024-01-04 09:43:14-05;1;2024;1 / 82 / 38 / 38;ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / Se Corrige Anomal�a / Inspecci�n T�cnica Conforme / Acometida Intervenid;0;CONTROL PERDIDAS;0;CAUSA NO DETERMINADA;HCORDOBA;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1422;1231;
NO;MON 280.2023;30630884;602781;Aprobada;2024-01-04 11:09:33-05;1;2024;38 / 38 / 82 / 1;Acometida Intervenid / Inspecci�n T�cnica Conforme / Se Corrige Anomal�a / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA;0;CONTROL PERDIDAS;0;CAUSA NO DETERMINADA;HCORDOBA;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1422;1304;
OC;R Y 229.2023;30630888;228272;Rechazada;2024-01-02 14:50:28-05;1;2024;38;Inspecci�n T�cnica Conforme;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;ERODRIGUEZM;Anomalia verificada con acta digital;No Existe Anomal�a En El Acta;ZTY1381;;
NO;MON 280.2023;30630908;602804;Aprobada;2024-01-04 13:30:27-05;1;2024;1 / 38 / 38 / 82;ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / Inspecci�n T�cnica Conforme / Acometida Intervenid / Se Corrige Anomal�a;0;CONTROL PERDIDAS;0;CAUSA NO DETERMINADA;HCORDOBA;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1422;1238;
OC;R Y 229.2023;30630925;228212;Rechazada;2024-01-02 15:02:56-05;1;2024;38;Inspecci�n T�cnica Conforme;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;ERODRIGUEZM;Anomalia verificada con acta digital;No Existe Anomal�a En El Acta;ZTY1381;;
NO;MON 280.2023;30630933;1018243;Aprobada;2024-01-03 09:00:26-05;1;2024;38 / 30004;Inspecci�n T�cnica Conforme / OTRAS ANOMAL�AS REINCIDENTE PARE;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;HCORDOBA;Anomalia verificada y aprobada;Otras Anomalias;ZTY1423;;
NO;MON 280.2023;30630938;1013127;Aprobada;2024-01-03 14:18:31-05;1;2024;38 / 30001;Inspecci�n T�cnica Conforme / OTRAS ANOMAL�AS QUE PUEDEN DETECTARSE Y COMPROBARSE;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;HCORDOBA;Anomalia verificada y aprobada;Luminaria Encendida;ZTY1423;;
NO;MON 280.2023;30630942;1013101;Aprobada;2024-01-03 13:17:37-05;1;2024;38 / 5;Inspecci�n T�cnica Conforme / RETIRO O DESCONEXI�N DEL MEDIDOR O COMPONENTES SIN AUTORIZAC;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;HCORDOBA;Anomalia verificada y aprobada;Legalizacion Orden De Retiro;ZTY1423;;
NO;MON 280.2023;30630952;1044721;Aprobada;2024-01-05 13:34:20-05;1;2024;30001 / 38 / 82;OTRAS ANOMAL�AS QUE PUEDEN DETECTARSE Y COMPROBARSE / Inspecci�n T�cnica Conforme / Se Corrige Anomal�a;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;HCORDOBA;Anomalia verificada y aprobada;Luminaria Encendida;ZTY1423;;
OC;R Y 229.2023;30631025;558308;Rechazada;2024-01-04 16:43:29-05;1;2024;38;Inspecci�n T�cnica Conforme;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;ERODRIGUEZM;Anomalia verificada con acta digital;No Existe Anomal�a En El Acta;ZTY1381;;
CE;ING 568.2023;30631415;1210871;Pendiente;2024-01-11 09:11:53-05;1;2024;N/A;medidor no conforme;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;MHOYOSM123;Posible anomalia;Disponible;ZTY15910;0;
OC;R Y 229.2023;30631671;228184;Rechazada;2024-01-02 17:03:41-05;1;2024;38;Inspecci�n T�cnica Conforme;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;ERODRIGUEZM;Anomalia verificada con acta digital;No Existe Anomal�a En El Acta;ZTY1381;;
NO;MON 280.2023;30631725;1262059;Aprobada;2024-01-09 11:44:07-05;1;2024;1 / 82 / 38 / 82;ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / Se Corrige Anomal�a / Inspecci�n T�cnica Conforme / Linea Directa;0;FACTURACION;0;CAUSA NO DETERMINADA;SROSERO;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1421;1277;
NO;MON 280.2023;30633237;171908;Rechazada;2024-01-05 08:51:27-05;1;2024;38;Inspecci�n T�cnica Conforme;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;HCORDOBA;Anomalia verificada con acta digital;No Procede Pare;ZTY1423;0;
NO;MON 280.2023;30633361;1262043;Aprobada;2024-01-09 12:34:34-05;1;2024;1 / 82 / 38 / 82;ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / Se Corrige Anomal�a / Inspecci�n T�cnica Conforme / Linea Directa;0;FACTURACION;0;CAUSA NO DETERMINADA;SROSERO;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1421;1061;
NO;MON 280.2023;30633409;1261437;Aprobada;2024-01-09 15:02:37-05;1;2024;82 / 1 / 38 / 82;Se Corrige Anomal�a / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / Inspecci�n T�cnica Conforme / Linea Directa;0;FACTURACION;0;CAUSA NO DETERMINADA;SROSERO;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1421;446;
NO;R Y 211.2023;30633602;194518;Aprobada;2024-01-03 13:51:07-05;1;2024;38 / 82 / 1 / 82;Inspecci�n T�cnica Conforme / Linea Directa / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / Se Corrige Anomal�a;0;CONTROL PERDIDAS;0;CAUSA NO DETERMINADA;HCORDOBA;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1354;1280;
NO;R Y 211.2023;30633616;8517491;Aprobada;2024-01-03 18:36:25-05;1;2024;82 / 38 / 1 / 82;Linea Directa / Inspecci�n T�cnica Conforme / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / Se Corrige Anomal�a;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;HCORDOBA;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1355;1272;
OC;R Y 229.2023;30633711;425118;Rechazada;2024-01-03 09:16:13-05;1;2024;38;Inspecci�n T�cnica Conforme;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;ERODRIGUEZM;Anomalia verificada con acta digital;No Procede Pare;ZTY1381;;
NO;R Y 211.2023;30633811;357942;Aprobada;2024-01-09 12:18:01-05;1;2024;1 / 38 / 82 / 82 / 30001;ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / Inspecci�n T�cnica Conforme / Linea Directa / Se Corrige Anomal�a / OTRAS ANOMAL�AS QUE PUEDEN DETECTARSE Y COMPROBARSE;0;CONTROL PERDIDAS;0;CAUSA NO DETERMINADA;HCORDOBA;Anomalia verificada y aprobada;Luminaria Encendida;ZTY1356;776;
OC;R Y 229.2023;30633973;1117246;Rechazada;2024-01-03 09:55:22-05;1;2024;38;Inspecci�n T�cnica Conforme;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;ERODRIGUEZM;Anomalia verificada con acta digital;No Procede Pare;ZTY1381;;
NO;R Y 211.2023;30634105;8517432;Aprobada;2024-01-09 11:33:34-05;1;2024;82 / 82 / 30004 / 30004;Se Corrige Anomal�a / Se Corrige Anomal�a / OTRAS ANOMAL�AS REINCIDENTE PARE / OTRAS ANOMAL�AS REINCIDENTE PARE;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;HCORDOBA;Anomalia verificada y aprobada;Otras Anomalias;ZTY1355;1298;
NO;UNI 210.2023;30634144;581776;Pendiente;2024-01-09 11:24:10-05;1;2024;N/A;medidor no conforme;0;FACTURACION;0;CAUSA NO DETERMINADA;JFMARTINEZ;Posible anomalia;Disponible;ZTY1372;;
PA;DIC 209.2023;30634234;389896;Rechazada;2024-01-03 15:07:20-05;1;2024;38;Inspecci�n T�cnica Conforme;75;GES. ENERGETICA;75;CAMBIO PLAN COMERCIAL;GSANDOVAL;Anomalia verificada con acta digital;No Procede Pare;ZTY1407;0;
OC;R Y 229.2023;30634528;229684;Rechazada;2024-01-03 12:09:49-05;1;2024;38;Inspecci�n T�cnica Conforme;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;ERODRIGUEZM;Anomalia verificada con acta digital;No Procede Pare;ZTY1381;;
OC;R Y 229.2023;30634673;1056183;Rechazada;2024-01-03 11:31:26-05;1;2024;38;Inspecci�n T�cnica Conforme;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;ERODRIGUEZM;Anomalia verificada con acta digital;No Procede Pare;ZTY1381;;
NO;R Y 211.2023;30634857;1080672;Aprobada;2024-01-04 09:37:26-05;1;2024;1 / 82 / 1 / 82 / 1 / 82;ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / Se Corrige Anomal�a / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / Se Corrige Anomal�a / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / Se Corrige Anomal�a;0;FACTURACION;0;CAUSA NO DETERMINADA;JDDELGADO;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1353;0;
NO;R Y 211.2023;30634884;8548476;Aprobada;2024-01-04 07:26:06-05;1;2024;82 / 38 / 82 / 82 / 1 / 1 / 82 / 38;Linea Directa / Inspecci�n T�cnica Conforme / Se Corrige Anomal�a / Linea Directa / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / Se Corrige Anomal�a / Inspecci�n T�cnica Conforme;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;HCORDOBA;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1356;151;
OC;R Y 229.2023;30635016;623561;Rechazada;2024-01-04 17:43:36-05;1;2024;38;Inspecci�n T�cnica Conforme;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;ERODRIGUEZM;Anomalia verificada con acta digital;No Procede Pare;ZTY1381;;
OC;R Y 229.2023;30635023;1146937;Rechazada;2024-01-04 17:58:28-05;1;2024;38;Inspecci�n T�cnica Conforme;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;ERODRIGUEZM;Anomalia verificada con acta digital;No Procede Pare;ZTY1381;;
CE;ING 568.2023;30635423;132780;Rechazada;2024-01-10 09:08:13-05;1;2024;N/A / BPQ;medidor no conforme / Bornera Perforada/Quemada;0;FACTURACION;0;CAUSA NO DETERMINADA;ALERAZO;Anomalia verificada con acta digital;No Procede Pare;ZTY1596;0;
PA;DIC 209.2023;30702620;1157455;Aprobada;2024-01-05 18:07:25-05;1;2024;39 / 38 / 1 / 82 / 82;Fase I / Inspecci�n T�cnica Conforme / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / Linea Directa / Se Corrige Anomal�a;0;CONTROL PERDIDAS;0;CAUSA NO DETERMINADA;GSANDOVAL;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1407;2256;
PA;DIC 209.2023;30719638;570017;Aprobada;2024-01-04 17:00:37-05;1;2024;82 / 1 / 82 / 38;Se Corrige Anomal�a / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / Linea Directa / Inspecci�n T�cnica Conforme;0;CONTROL PERDIDAS;0;CAUSA NO DETERMINADA;GSANDOVAL;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1404;2981;
PA;DIC 209.2023;30719648;1078046;Aprobada;2024-01-05 17:22:05-05;1;2024;82 / 1 / 18 / 38 / 82;Linea Directa / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / Conexion Directa Desde Bornera / Inspecci�n T�cnica Conforme / Se Corrige Anomal�a;0;CONTROL PERDIDAS;0;CAUSA NO DETERMINADA;GSANDOVAL;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1407;2223;
PA;DIC 209.2023;30719652;1068362;Aprobada;2024-01-05 15:55:06-05;1;2024;18 / 82 / 1 / 38 / 82;Conexion Directa Desde Bornera / Se Corrige Anomal�a / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / Inspecci�n T�cnica Conforme / Linea Directa;0;CONTROL PERDIDAS;0;CAUSA NO DETERMINADA;GSANDOVAL;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1407;2443;
PA;DIC 209.2023;30719653;1068360;Aprobada;2024-01-05 16:45:31-05;1;2024;38 / 18 / 1 / 82 / 82;Inspecci�n T�cnica Conforme / Conexion Directa Desde Bornera / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / Se Corrige Anomal�a / Linea Directa;0;CONTROL PERDIDAS;0;CAUSA NO DETERMINADA;GSANDOVAL;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1407;1643;
PA;DIC 209.2023;30719682;1119887;Rechazada;2024-01-11 11:25:03-05;1;2024;82;Se Corrige Anomal�a;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;GSANDOVAL;Anomalia verificada con acta digital;No Procede Pare;ZTY1406;;
PA;DIC 209.2023;30719695;1129038;Aprobada;2024-01-11 15:51:15-05;1;2024;38 / 30001;Inspecci�n T�cnica Conforme / OTRAS ANOMAL�AS QUE PUEDEN DETECTARSE Y COMPROBARSE;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;GSANDOVAL;Anomalia verificada y aprobada;Luminaria Encendida;ZTY1406;;
PA;DIC 209.2023;30720192;1155120;Pendiente;2024-01-05 09:26:55-05;1;2024;N/A;medidor no conforme;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;GSANDOVAL;Posible anomalia;Disponible;ZTY1404;0;
PA;DIC 209.2023;30720194;1112066;Aprobada;2024-01-05 11:35:47-05;1;2024;38 / 82 / 1 / 82;Inspecci�n T�cnica Conforme / Se Corrige Anomal�a / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / Linea Directa;0;CONTROL PERDIDAS;0;CAUSA NO DETERMINADA;GSANDOVAL;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1404;2005;
PA;DIC 209.2023;30720195;1130155;Aprobada;2024-01-05 11:16:51-05;1;2024;82 / 30004 / 82 / 38 / 1;Linea Directa / OTRAS ANOMAL�AS REINCIDENTE PARE / Se Corrige Anomal�a / Inspecci�n T�cnica Conforme / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA;0;CONTROL PERDIDAS;0;CAUSA NO DETERMINADA;GSANDOVAL;Anomalia verificada y aprobada;Otras Anomalias;ZTY1404;1673;
PA;DIC 209.2023;30720197;422164;Aprobada;2024-01-05 10:54:34-05;1;2024;82 / 82 / 1 / 38;Linea Directa / Se Corrige Anomal�a / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / Inspecci�n T�cnica Conforme;0;CONTROL PERDIDAS;0;CAUSA NO DETERMINADA;GSANDOVAL;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1404;2189;
PA;DIC 209.2023;30721986;1242988;Aprobada;2024-01-05 17:53:05-05;1;2024;82 / 82 / 1;Se Corrige Anomal�a / Linea Directa / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA;0;CONTROL PERDIDAS;0;CAUSA NO DETERMINADA;GSANDOVAL;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1403;3896;
